,Date,Sales,Revenue,Revenue Goal,Margin,Margin Goal,Customers
207,27/07/2017,533,68538.23,67966.56,5.38,5.29,2107
208,28/07/2017,588,74319.05,73898.21,5.26,5.51,2415
209,29/07/2017,548,71422.66,62358.25,4.13,5.47,2020
210,30/07/2017,657,82757.14,69634.26,5.32,5.38,2424
211,31/07/2017,737,91680.22,84077.31,5.71,5.58,2830
212,1/8/2017,699,88506.05,70759.7,5.23,5.42,2407
213,2/8/2017,591,74508,66547.08,5.26,5.51,2132
214,3/8/2017,587,74539.48,76720.56,5.03,5.45,2172
215,4/8/2017,485,62140.65,83924.39,5.42,5.29,1815
216,5/8/2017,544,68991.06,79988.02,5.73,5.47,2028
217,6/8/2017,447,56832.54,75010.01,5.93,5.54,1569
218,7/8/2017,559,70970.36,64839.01,5.7,5.59,1738
219,8/8/2017,665,84578.61,70904.72,4.95,5.53,2471
220,9/8/2017,640,77574.54,78163.62,5.48,5.5,2427
221,10/8/2017,542,71415.23,72100.54,5.43,5.59,1865
222,11/8/2017,691,87883.07,70034.81,5.47,5.55,2565
223,12/8/2017,627,78416.06,58847.79,4.88,5.71,2315
224,13/08/2017,602,74675.37,72230.76,5.53,5.29,2402
225,14/08/2017,513,65077.28,70176.3,5.9,5.62,1995
226,15/08/2017,665,77118.19,62570.08,4.86,5.63,2975
227,16/08/2017,655,84123.25,66239.5,5.5,5.45,2404
228,17/08/2017,685,86755.95,66535.66,5.03,5.35,2572
229,18/08/2017,562,72387.82,74834.01,6.38,5.6,1951
230,19/08/2017,686,86489.05,68915.04,6.06,5.34,2570
231,20/08/2017,676,77540.83,60299.32,6.1,5.89,2485
232,21/08/2017,792,95484.47,73593.33,5.83,5.61,2919
233,22/08/2017,538,70104.79,64564.28,5.67,5.58,1952
234,23/08/2017,511,67607.15,60609.69,5.74,5.69,1962
235,24/08/2017,529,66628.75,67826.43,6.17,5.53,1603
236,25/08/2017,527,66606.62,74720.1,5.69,5.55,2016
237,26/08/2017,541,68125.12,71448.12,4.87,5.71,1972
238,27/08/2017,679,78298.26,75815.46,5.4,5.74,2593
239,28/08/2017,575,75161.55,70882.98,5.47,5.55,2339
240,29/08/2017,628,80987.27,60526.24,6.04,5.52,2160
241,30/08/2017,754,87794.47,79899.53,5.13,5.28,2807
242,31/08/2017,749,92928.63,85519.33,5.29,5.62,2872
243,1/9/2017,663,86015.34,63266,5.08,5.61,2470
244,2/9/2017,527,66609.12,70391.74,5.78,5.57,2358
245,3/9/2017,572,72367.49,71915.05,5.5,5.38,2244
246,4/9/2017,545,71212.83,58234.32,5.76,5.19,1645
247,5/9/2017,583,74938.6,79024.83,5.89,5.54,2293
248,6/9/2017,681,86626.06,72935.52,6.41,5.73,2560
249,7/9/2017,532,67255.18,73227,5.34,5.53,1885
250,8/9/2017,611,78686.97,70081.28,6.19,5.47,2240
251,9/9/2017,685,84450.24,60890.52,6.58,5.38,2627
252,10/9/2017,578,74181.1,67508.29,4.43,5.26,2121
253,11/9/2017,559,63213.1,72969.35,5.6,5.56,1859
254,12/9/2017,614,69048.33,63635.03,5.86,5.3,1734
255,13/09/2017,647,80680.77,63493.87,6.19,5.64,1906
256,14/09/2017,565,70323.27,75412.74,5.33,5.16,2142
257,15/09/2017,633,81347.86,78874.52,5.85,5.39,2502
258,16/09/2017,636,80520.35,66956.07,5.25,5.55,2052
259,17/09/2017,525,66013.49,69924.83,5.44,5.71,2097
260,18/09/2017,576,73077.78,74498.3,5.62,5.76,2244
261,19/09/2017,768,95168.48,63600.26,6.28,5.25,2672
262,20/09/2017,627,77649.32,70745.11,5.24,5.57,2182
263,21/09/2017,577,72883.13,56856.31,5.69,5.4,2229
264,22/09/2017,658,84744.64,70986.69,5.33,5.8,2504
265,23/09/2017,659,81873.4,66766.01,5.74,5.39,2796
266,24/09/2017,619,79225.88,69618.95,4.94,5.6,1865
267,25/09/2017,828,93694.8,70898.5,5.79,5.31,2834
268,26/09/2017,482,62289.58,66227.27,5.64,5.5,1554
269,27/09/2017,579,69349.14,69017.7,5.13,5.41,2249
270,28/09/2017,517,66343.79,73447.07,5.92,5.17,1977
271,29/09/2017,657,82690.01,70655.23,6.28,5.48,2661
272,30/09/2017,935,106585.93,64090.19,5.4,5.49,4128
273,1/10/2017,415,53136.71,70879.68,5.64,5.53,1432
274,2/10/2017,630,80139.61,71360.5,5.28,5.72,2368
275,3/10/2017,537,68488.55,74334.27,5.53,5.81,2182
276,4/10/2017,648,81426.35,60426.55,6.18,5.65,2348
277,5/10/2017,689,83449.86,66610.16,5.59,5.38,2370
278,6/10/2017,517,64919.69,74680.65,5.52,5.27,1846
279,7/10/2017,652,82137.35,69206.22,5.81,5.37,2469
280,8/10/2017,620,72159.42,64838.88,5.57,5.62,2568
281,9/10/2017,507,60857.43,68438.44,5.34,5.56,1940
282,10/10/2017,576,74931.88,73660.72,4.45,5.85,2051
283,11/10/2017,663,85321.8,68684.22,5.74,5.5,2659
284,12/10/2017,645,78874.98,69769.28,5.9,5.55,2740
285,13/10/2017,570,70433.4,75354.46,5.15,5.45,2194
286,14/10/2017,527,68911.24,67734.74,4.42,5.39,2134
287,15/10/2017,540,68825.34,72693.43,5.4,5.79,1985
288,16/10/2017,577,74210.07,72008.45,5.9,5.74,1933
289,17/10/2017,631,79108.69,66620.05,5.42,5.87,2345
290,18/10/2017,705,90275.34,66552.02,4.63,5.68,2288
291,19/10/2017,676,83527.53,74852.07,5.62,5.67,2580
292,20/10/2017,528,65705.34,61316.14,5.62,5.48,1817
293,21/10/2017,586,72353.2,62895.83,5.29,5,1986
294,22/10/2017,429,55115.97,67724.99,4.76,5.53,1582
295,23/10/2017,638,78963.71,75304.34,5.75,5.58,2647
296,24/10/2017,482,61462.7,72583.59,6.11,5.56,1927
297,25/10/2017,640,80804.2,65474.75,5.02,5.66,2172
298,26/10/2017,706,83162.16,55356.77,6.05,5.21,2353
299,27/10/2017,579,68666.89,75162.8,6.33,5.34,2101
300,28/10/2017,702,83361.45,67283.04,5.55,5.54,2314
301,29/10/2017,472,52998.96,73446.16,5.22,5.51,1888
302,30/10/2017,544,67756.88,63904.39,5.21,5.34,1586
303,31/10/2017,629,79236.32,78343.7,4.87,5.36,2519
304,1/11/2017,563,73501.76,56427.94,4.84,5.36,2124
305,2/11/2017,524,64967.3,75111.15,5.56,5.49,1798
306,3/11/2017,690,85140.88,61988.12,5.71,5.75,2186
307,4/11/2017,464,57595.14,76606.69,5.7,5.25,1784
308,5/11/2017,520,68188.28,62744.61,5.35,5.55,1916
309,6/11/2017,761,96524.54,74419.18,5.72,5.53,2543
310,7/11/2017,602,70786.09,69299.31,5.73,5.68,2110
311,8/11/2017,591,74113.96,59257.59,5.5,5.82,2338
312,9/11/2017,630,78216.86,80174.55,4.95,5.57,2306
313,10/11/2017,489,64259.82,72387.84,5.32,5.66,1533
314,11/11/2017,790,92461.36,73595.84,5.35,5.37,2549
315,12/11/2017,571,69315.99,71221.91,5.11,5.49,2297
316,13/11/2017,694,85377.42,70506.82,4.92,5.16,2970
317,14/11/2017,766,93984.44,63144.04,5.29,5.43,2928
318,15/11/2017,585,75727.88,59983.99,5.77,5.15,1820
319,16/11/2017,541,66827.82,73159.89,5.09,5.32,1897
320,17/11/2017,616,78051.39,59829.63,5.13,5.43,2488
321,18/11/2017,669,82500.07,60504.18,6.03,5.44,2692
322,19/11/2017,636,78595.54,67797.58,4.91,5.57,2618
323,20/11/2017,513,67080.6,75205.81,5.59,5.67,2142
324,21/11/2017,664,83320.43,70208.4,6.12,5.35,2797
325,22/11/2017,572,75962.27,67801.23,5.6,5.46,2093
326,23/11/2017,597,76195.23,76961.88,5.29,5.69,2101
327,24/11/2017,579,73850.27,58235.93,5.15,5.79,1948
328,25/11/2017,480,62825.43,71316.94,4.94,5.78,1895
329,26/11/2017,660,83412.02,68792.68,5.91,5.62,2490
330,27/11/2017,660,78339.64,66436.88,5.07,5.74,2646
331,28/11/2017,558,71967.13,67695.84,5.14,5.65,2379
332,29/11/2017,669,84539.21,72365.49,5.49,5.35,2256
333,30/11/2017,490,61872.35,81666.67,4.9,5.38,1899
334,1/12/2017,596,75061.8,80932.16,5.88,5.72,2327
335,2/12/2017,441,57831.32,75938.85,5.5,5.51,1732
336,3/12/2017,631,77315.16,69102.16,5.96,5.59,2288
337,4/12/2017,625,79986.6,66454.86,5.77,5.68,2239
338,5/12/2017,701,88377.7,73217.75,5.88,5.69,2687
339,6/12/2017,550,69832.59,73450.06,5.12,5.56,2106
340,7/12/2017,656,82145.56,84021.23,5.9,5.72,2312
341,8/12/2017,626,77017.43,72002.67,4.57,5.16,2487
342,9/12/2017,423,53558.13,69763.75,5.86,5.43,1563
343,10/12/2017,514,64463.29,63652.61,6.07,5.57,1776
344,11/12/2017,607,77727.24,74635.74,5.7,5.71,2644
345,12/12/2017,677,83445.69,69488.38,5.23,5.65,2639
346,13/12/2017,640,83892.33,67896.12,6.09,5.75,2209
347,14/12/2017,630,77826.55,65486.02,5.06,5.49,2468
348,15/12/2017,725,91130,69823.96,6.11,5.56,2737
349,16/12/2017,505,60154.69,84528.23,5.97,5.61,1866
350,17/12/2017,584,69095.92,69879.83,5.08,5.29,2400
351,18/12/2017,674,83167.14,86599.23,5.08,5.42,2765
352,19/12/2017,661,81545.82,69780.7,5.44,5.54,2648
353,20/12/2017,630,79899.07,65861.98,5.2,5.57,2521
354,21/12/2017,483,61602.52,64062.42,5.45,5.45,1830
355,22/12/2017,648,81675.89,74666.6,5.84,5.37,1809
356,23/12/2017,524,66719.8,64786.46,5.14,5.49,2328
357,24/12/2017,791,95883.19,60906.05,6.16,5.44,2794
358,25/12/2017,745,89959.55,61810.84,5.49,5.79,2605
359,26/12/2017,694,84806.64,69084.98,5.68,5.36,2546
360,27/12/2017,679,78476.2,60318.18,5.1,5.37,3120
361,28/12/2017,709,85625.71,73428.22,6.16,5.23,2895
362,29/12/2017,551,70069.55,72588.89,5.3,5.2,2170
363,30/12/2017,580,70743.96,67489.43,5.92,5.49,2091
364,31/12/2017,712,89597.74,69238.02,6.36,5.67,2794
365,1/1/2018,1017,153015.54,120117.91,5.7,5.72,2749
366,2/1/2018,1129,173589.03,111553.34,5.22,5.87,3254
367,3/1/2018,919,140818.71,125631.5,5.16,5.37,2801
368,4/1/2018,1146,178626.42,97017.29,5.88,5.52,3197
369,5/1/2018,643,103549.86,120246.61,6.05,5.4,1943
370,6/1/2018,697,108827.74,101847.87,5.13,5.8,2131
371,7/1/2018,1185,170397.75,110484.82,5.82,5.66,3344
372,8/1/2018,864,137341.3,120925.31,5.36,5.49,2459
373,9/1/2018,1225,169720.41,115553.89,5.67,5.34,3644
374,10/1/2018,1177,181214.37,111821.12,5.62,5.26,3237
375,11/1/2018,1196,178233.54,119415.48,5.74,5.46,4260
376,12/1/2018,1114,179546.77,106258.51,5.3,5.69,3264
377,13/01/2018,835,135795.21,116374.45,5.42,5.59,1953
378,14/01/2018,1122,172204.65,121933.06,5.64,5.44,3595
379,15/01/2018,1286,180938.53,115666.22,4.12,5.24,4052
380,16/01/2018,992,150726.58,128704.45,6.03,5.38,3088
381,17/01/2018,838,136468.52,120498.53,5.27,5.6,2459
382,18/01/2018,1193,167359.75,126569.42,5.32,5.61,4257
383,19/01/2018,1121,161058.79,103839.34,5.75,5.55,2935
384,20/01/2018,840,132208.19,140679.28,5.86,5.54,2696
385,21/01/2018,1135,175546.75,124122.67,5.05,5.69,3153
386,22/01/2018,1176,169724.15,116342.34,4.92,5.62,3574
387,23/01/2018,1023,162771.58,121657.58,5.81,5.33,2930
388,24/01/2018,985,152914.94,126938.46,5.65,5.58,3048
389,25/01/2018,788,118800.87,123872.89,5.57,5.38,2230
390,26/01/2018,767,120135.87,126515.05,6.12,5.62,2200
391,27/01/2018,1017,165683.17,112377.14,4.72,5.43,2643
392,28/01/2018,1014,155936.58,122404.94,5.72,5.7,2811
393,29/01/2018,892,143424.41,132751.36,6.13,5.36,2358
394,30/01/2018,964,154005.35,112056.18,6.01,5.61,3009
395,31/01/2018,814,129428.45,108100.37,6.04,5.42,2716
396,1/2/2018,1104,160118.78,122313.81,5.33,5.27,2882
397,2/2/2018,1314,182854.4,117558.15,6.32,5.28,3694
398,3/2/2018,951,140067.53,120028.27,6.2,5.63,2592
399,4/2/2018,1032,146947.46,118717.91,5.66,5.26,2889
400,5/2/2018,1215,180166.49,114380.16,5.39,5.52,3792
401,6/2/2018,1109,164471.72,120998.33,5.35,5.74,3218
402,7/2/2018,840,121259.53,114825.11,5.78,5.47,2039
403,8/2/2018,913,141439.63,111661.84,5,5.42,3060
404,9/2/2018,1363,191795.16,114850,6.38,5.37,4465
405,10/2/2018,1144,172361.52,127391.75,5.71,5.32,3249
406,11/2/2018,936,147888.01,125699.73,5.84,5.59,2675
407,12/2/2018,1142,180325.78,123586.07,5.58,5.61,3402
408,13/02/2018,979,144767.81,109071.16,4.86,5.53,2662
409,14/02/2018,1269,187955.16,126197.04,5.59,5.48,3870
410,15/02/2018,1011,148055.14,116994.17,4.74,5.36,2649
411,16/02/2018,986,148384.29,97812.64,5.55,5.41,3018
412,17/02/2018,898,138556.29,102155.69,5.08,5.33,2349
413,18/02/2018,1145,158026.04,117295.53,5.09,5.61,3470
414,19/02/2018,1219,186328.36,136114.35,5.42,5.78,3518
415,20/02/2018,980,145941.26,113751.89,6.2,5.8,2612
416,21/02/2018,879,136213.17,123568.81,5.17,5.48,2451
417,22/02/2018,859,133650.57,117573.61,5.26,5.8,2505
418,23/02/2018,1274,187737.28,122299.15,5.55,5.57,4127
419,24/02/2018,932,138548.27,125870.3,5.87,5.46,2274
420,25/02/2018,1163,170136.33,114050.88,5.52,5.64,3429
421,26/02/2018,1170,172054.03,124106.08,5.54,5.5,3913
422,27/02/2018,945,149433.55,137434.9,5.42,5.24,2528
423,28/02/2018,830,125591.67,121332.5,4.95,5.48,2804
424,1/3/2018,1089,170172.75,125371.12,5.61,5.46,3210
425,2/3/2018,998,153027.83,126974,4.68,5.85,2685
426,3/3/2018,1441,212887.79,95938.69,5.4,5.2,3877
427,4/3/2018,934,136109.44,115342.88,6.09,5.72,2833
428,5/3/2018,1040,154888.27,123168.66,5.45,5.55,2769
429,6/3/2018,1445,200998.31,109593.99,6.32,5.37,3312
430,7/3/2018,864,133032.69,127616.99,4.93,5.9,3083
431,8/3/2018,883,135958.71,108997.78,5.97,5.45,2443
432,9/3/2018,1340,186461.41,122364.44,4.9,5.81,3812
433,10/3/2018,1305,188616.35,122944.69,6.2,5.33,3716
